period_num,agent_id,agent_type,purchase_type,purchase_quantity,required,amount
0,0,young_professional,fixed_cost,1,True,1200.0
0,0,young_professional,variable_cost,1,True,439.94462735465964
0,0,young_professional,luxury,58,False,2900.0
0,1,family,fixed_cost,1,True,1800.0
0,1,family,variable_cost,1,True,77.32324245069569
0,1,family,luxury,32,False,1600.0
0,2,retiree,fixed_cost,1,True,1200.0
0,2,retiree,variable_cost,1,True,359.6935123621406
0,2,retiree,luxury,5,False,250.0
0,3,student,fixed_cost,1,True,800.0
0,3,student,variable_cost,1,True,127.23441258781887
0,3,student,luxury,4,False,200.0
0,4,low_income,fixed_cost,1,True,1000.0
0,4,low_income,variable_cost,1,True,287.0097866714233
0,4,low_income,luxury,1,False,50.0
1,0,young_professional,fixed_cost,1,True,1200.0
1,0,young_professional,variable_cost,1,True,344.9411525441943
1,0,young_professional,luxury,18,False,900.0
1,1,family,fixed_cost,1,True,1800.0
1,1,family,variable_cost,1,True,442.78923155239187
1,1,family,luxury,25,False,1250.0
1,2,retiree,fixed_cost,1,True,1200.0
1,2,retiree,variable_cost,1,True,138.69277171935514
1,2,retiree,luxury,13,False,650.0
1,3,student,fixed_cost,1,True,800.0
1,3,student,variable_cost,1,True,293.58303908871494
1,3,student,luxury,3,False,150.0
1,4,low_income,fixed_cost,1,True,1000.0
1,4,low_income,variable_cost,1,True,156.92950941060562
1,4,low_income,luxury,15,False,750.0
2,0,young_professional,fixed_cost,1,True,1200.0
2,0,young_professional,variable_cost,1,True,149.82578517061611
2,0,young_professional,luxury,34,False,1700.0
2,1,family,fixed_cost,1,True,1800.0
2,1,family,variable_cost,1,True,469.8686340228585
2,1,family,luxury,19,False,950.0
2,2,retiree,fixed_cost,1,True,1200.0
2,2,retiree,variable_cost,1,True,135.2721787634564
2,2,retiree,luxury,10,False,500.0
2,3,student,fixed_cost,1,True,800.0
2,3,student,variable_cost,1,True,142.76204419561185
2,3,student,luxury,4,False,200.0
2,4,low_income,fixed_cost,1,True,1000.0
2,4,low_income,variable_cost,1,True,66.44684527778388
2,4,low_income,luxury,8,False,400.0
3,0,young_professional,fixed_cost,1,True,1200.0
3,0,young_professional,variable_cost,1,True,407.45478747424255
3,0,young_professional,luxury,1,False,50.0
3,1,family,fixed_cost,1,True,1800.0
3,1,family,variable_cost,1,True,2.0327119043335062
3,1,family,luxury,19,False,950.0
3,2,retiree,fixed_cost,1,True,1200.0
3,2,retiree,variable_cost,1,True,162.65587047500486
3,2,retiree,luxury,74,False,3700.0
3,3,student,fixed_cost,1,True,800.0
3,3,student,variable_cost,1,True,126.86470057854456
3,3,student,luxury,2,False,100.0
3,4,low_income,fixed_cost,1,True,1000.0
3,4,low_income,variable_cost,1,True,9.663949113885128
3,4,low_income,luxury,16,False,800.0
4,0,young_professional,fixed_cost,1,True,1200.0
4,0,young_professional,variable_cost,1,True,508.31117649905065
4,0,young_professional,luxury,37,False,1850.0
4,1,family,fixed_cost,1,True,1800.0
4,1,family,variable_cost,1,True,254.30475053402006
4,1,family,luxury,398,False,19900.0
4,2,retiree,fixed_cost,1,True,1200.0
4,2,retiree,variable_cost,1,True,588.6142959544653
4,2,retiree,luxury,45,False,2250.0
4,3,student,fixed_cost,1,True,800.0
4,3,student,variable_cost,1,True,11.141242723459621
4,3,student,luxury,3,False,150.0
4,4,low_income,fixed_cost,1,True,1000.0
4,4,low_income,variable_cost,1,True,232.45474605264565
4,4,low_income,luxury,14,False,700.0
5,0,young_professional,fixed_cost,1,True,1200.0
5,0,young_professional,variable_cost,1,True,489.02214978211407
5,0,young_professional,luxury,196,False,9800.0
5,1,family,fixed_cost,1,True,1800.0
5,1,family,variable_cost,1,True,692.2804934262342
5,1,family,luxury,60,False,3000.0
5,2,retiree,fixed_cost,1,True,1200.0
5,2,retiree,variable_cost,1,True,441.83119645707774
5,2,retiree,luxury,39,False,1950.0
5,3,student,fixed_cost,1,True,800.0
5,3,student,variable_cost,1,True,314.26938049131576
5,3,student,luxury,8,False,400.0
5,4,low_income,fixed_cost,1,True,1000.0
5,4,low_income,variable_cost,1,True,296.6494195340676
5,4,low_income,luxury,8,False,400.0
6,0,young_professional,fixed_cost,1,True,1200.0
6,0,young_professional,variable_cost,1,True,205.49004967641574
6,0,young_professional,luxury,27,False,1350.0
6,1,family,fixed_cost,1,True,1800.0
6,1,family,variable_cost,1,True,634.6868744052692
6,1,family,luxury,39,False,1950.0
6,2,retiree,fixed_cost,1,True,1200.0
6,2,retiree,variable_cost,1,True,519.5951538171306
6,2,retiree,luxury,19,False,950.0
6,3,student,fixed_cost,1,True,800.0
6,3,student,variable_cost,1,True,391.37198249664596
6,3,student,luxury,2,False,100.0
6,4,low_income,fixed_cost,1,True,1000.0
6,4,low_income,variable_cost,1,True,412.8516203666619
6,4,low_income,luxury,14,False,700.0
7,0,young_professional,fixed_cost,1,True,1200.0
7,0,young_professional,variable_cost,1,True,244.76497153237193
7,0,young_professional,luxury,39,False,1950.0
7,1,family,fixed_cost,1,True,1800.0
7,1,family,variable_cost,1,True,721.94703298239
7,1,family,luxury,136,False,6800.0
7,2,retiree,fixed_cost,1,True,1200.0
7,2,retiree,variable_cost,1,True,72.98611175033192
7,2,retiree,luxury,12,False,600.0
7,3,student,fixed_cost,1,True,800.0
7,3,student,variable_cost,1,True,40.659776851248886
7,3,student,luxury,6,False,300.0
7,4,low_income,fixed_cost,1,True,1000.0
7,4,low_income,variable_cost,1,True,393.2231377303182
7,4,low_income,luxury,1,False,50.0
8,0,young_professional,fixed_cost,1,True,1200.0
8,0,young_professional,variable_cost,1,True,166.04982763159248
8,0,young_professional,luxury,75,False,3750.0
8,1,family,fixed_cost,1,True,1800.0
8,1,family,variable_cost,1,True,146.7133466465049
8,2,retiree,fixed_cost,1,True,1200.0
8,2,retiree,variable_cost,1,True,30.88857741951998
8,2,retiree,luxury,12,False,600.0
8,3,student,fixed_cost,1,True,800.0
8,3,student,variable_cost,1,True,28.13067524335611
8,3,student,luxury,5,False,250.0
8,4,low_income,fixed_cost,1,True,1000.0
8,4,low_income,variable_cost,1,True,260.4829821557679
8,4,low_income,luxury,15,False,750.0
9,0,young_professional,fixed_cost,1,True,1200.0
9,0,young_professional,variable_cost,1,True,444.42985919650295
9,0,young_professional,luxury,34,False,1700.0
9,1,family,fixed_cost,1,True,1800.0
9,1,family,variable_cost,1,True,838.3161731002341
9,1,family,luxury,15,False,750.0
9,2,retiree,fixed_cost,1,True,1200.0
9,2,retiree,variable_cost,1,True,238.72560345039332
9,2,retiree,luxury,105,False,5250.0
9,3,student,fixed_cost,1,True,800.0
9,3,student,variable_cost,1,True,131.64351042292316
9,3,student,luxury,2,False,100.0
9,4,low_income,fixed_cost,1,True,1000.0
9,4,low_income,variable_cost,1,True,161.59348253352746
9,4,low_income,luxury,18,False,900.0
10,0,young_professional,fixed_cost,1,True,1200.0
10,0,young_professional,variable_cost,1,True,545.0242820888772
10,0,young_professional,luxury,185,False,9250.0
10,1,family,fixed_cost,1,True,1800.0
10,1,family,variable_cost,1,True,644.2002756015768
10,1,family,luxury,298,False,14900.0
10,2,retiree,fixed_cost,1,True,1200.0
10,2,retiree,variable_cost,1,True,429.69113949028446
10,2,retiree,luxury,23,False,1150.0
10,3,student,fixed_cost,1,True,800.0
10,3,student,variable_cost,1,True,153.08370917542692
10,3,student,luxury,5,False,250.0
10,4,low_income,fixed_cost,1,True,1000.0
10,4,low_income,variable_cost,1,True,257.7804771950134
10,4,low_income,luxury,8,False,400.0
11,0,young_professional,fixed_cost,1,True,1200.0
11,0,young_professional,variable_cost,1,True,382.94747088084233
11,0,young_professional,luxury,18,False,900.0
11,1,family,fixed_cost,1,True,1800.0
11,1,family,variable_cost,1,True,851.1242174082885
11,1,family,luxury,96,False,4800.0
11,2,retiree,fixed_cost,1,True,1200.0
11,2,retiree,variable_cost,1,True,401.1966320163338
11,2,retiree,luxury,39,False,1950.0
11,3,student,fixed_cost,1,True,800.0
11,3,student,variable_cost,1,True,70.15033447015226
11,3,student,luxury,7,False,350.0
11,4,low_income,fixed_cost,1,True,1000.0
11,4,low_income,variable_cost,1,True,152.9567598628252
11,4,low_income,luxury,20,False,1000.0
