period_num,agent_id,agent_type,purchase_type,purchase_quantity,required,amount
8,1,family,variable_cost,1,True,128.12271950410573
8,1,family,luxury,2,False,100.0
8,2,retiree,fixed_cost,1,True,1200.0
8,2,retiree,variable_cost,1,True,281.49716550867845
8,2,retiree,luxury,89,False,4450.0
8,3,student,fixed_cost,1,True,800.0
8,3,student,variable_cost,1,True,266.839331188411
8,3,student,luxury,2,False,100.0
8,4,low_income,fixed_cost,1,True,1000.0
8,4,low_income,variable_cost,1,True,229.51300918784756
8,4,low_income,luxury,7,False,350.0
9,0,young_professional,fixed_cost,1,True,1200.0
9,0,young_professional,variable_cost,1,True,553.1378777348053
9,0,young_professional,luxury,48,False,2400.0
9,1,family,fixed_cost,1,True,1800.0
9,1,family,variable_cost,1,True,180.4941302481243
9,1,family,luxury,459,False,22950.0
9,2,retiree,fixed_cost,1,True,1200.0
9,2,retiree,variable_cost,1,True,1.735375807433548
9,2,retiree,luxury,4,False,200.0
9,3,student,fixed_cost,1,True,800.0
9,3,student,variable_cost,1,True,103.4906974231045
9,3,student,luxury,6,False,300.0
9,4,low_income,fixed_cost,1,True,1000.0
9,4,low_income,variable_cost,1,True,334.57713518281474
9,4,low_income,luxury,4,False,200.0
10,0,young_professional,fixed_cost,1,True,1200.0
10,0,young_professional,variable_cost,1,True,508.99720828276634
10,0,young_professional,luxury,347,False,17350.0
10,1,family,fixed_cost,1,True,1800.0
10,1,family,variable_cost,1,True,505.7092158785474
10,1,family,luxury,25,False,1250.0
10,2,retiree,fixed_cost,1,True,1200.0
10,2,retiree,variable_cost,1,True,81.67873151897551
10,2,retiree,luxury,5,False,250.0
10,3,student,fixed_cost,1,True,800.0
10,3,student,variable_cost,1,True,0.4972230564574076
10,3,student,luxury,5,False,250.0
10,4,low_income,fixed_cost,1,True,1000.0
10,4,low_income,variable_cost,1,True,317.2477917692975
10,4,low_income,luxury,9,False,450.0
11,0,young_professional,fixed_cost,1,True,1200.0
11,0,young_professional,variable_cost,1,True,580.7716127723116
11,0,young_professional,luxury,24,False,1200.0
11,1,family,fixed_cost,1,True,1800.0
11,1,family,variable_cost,1,True,163.2667966334023
11,1,family,luxury,2,False,100.0
11,2,retiree,fixed_cost,1,True,1200.0
11,2,retiree,variable_cost,1,True,55.17683886835274
11,2,retiree,luxury,18,False,900.0
11,3,student,fixed_cost,1,True,800.0
11,3,student,variable_cost,1,True,55.084428682789444
11,3,student,luxury,2,False,100.0
11,4,low_income,fixed_cost,1,True,1000.0
11,4,low_income,variable_cost,1,True,255.3607006356779
11,4,low_income,luxury,14,False,700.0
